Station,metro,coor
Соколиная Гора,"Москва, станция метро Соколиная Гора","(55.769536, 37.745510)"
Стрешнево,"Москва, станция метро Стрешнево","(55.815045, 37.487861)"
Суворовская,"Москва, станция метро Суворовская","(55.781728, 37.614714)"
Тверская,"Москва, станция метро Тверская","(55.764751, 37.605546)"
Театральная,"Москва, станция метро Театральная","(55.758438, 37.618725)"
Телецентр,"Москва, станция метро Телецентр","(55.821861, 37.607869)"
Угрешская,"Москва, станция метро Угрешская","(55.717944, 37.695555)"
Улица Академика Королёва,"Москва, станция метро Улица Академика Королёва","(55.821822, 37.625995)"
Улица Милашенкова,"Москва, станция метро Улица Милашенкова","(55.821496, 37.590466)"
Петровский парк,"Москва, станция метро Петровский парк","(55.7929154, 37.559067)"
ЦСКА,"Москва, станция метро ЦСКА","(55.7862506, 37.5378151)"
Озёрная,"Москва, станция метро Озёрная","(55.6697814, 37.4460504)"
Говорово,"Москва, станция метро Говорово","(55.6564325, 37.4205042)"
Беломорская,"Москва, станция метро Беломорская","(55.8605039, 37.4764706)"
Улица Сергея Эйзенштейна,"Москва, станция метро Улица Сергея Эйзенштейна","(55.829743, 37.645409)"
Хорошёво,"Москва, станция метро Хорошёво","(55.777030, 37.507022)"
Царицыно,"Москва, станция метро Царицыно","(55.621558, 37.670396)"
Филатов луг,"Москва, станция метро Филатов луг","(55.6015351, 37.4080672)"
Прокшино,"Москва, станция метро Прокшино","(55.5856833, 37.4373109)"
Ольховая,"Москва, станция метро Ольховая","(55.5684966, 37.4594958)"
Коммунарка,"Москва, станция метро Коммунарка","(55.5568163, 37.4715966)"
Лефортово,"Москва, станция метро Лефортово","(55.7597197, 37.709916)"
Зюзино,"Москва, станция метро Зюзино","(55.6542633, 37.5756303)"
Народное Ополчение,"Москва, станция метро Народное Ополчение","(55.7730686, 37.4884034)"
Давыдково,"Москва, станция метро Давыдково","(55.709995, 37.4547899)"
Аминьевская,"Москва, станция метро Аминьевская","(55.6924746, 37.4628571)"
Новаторская,"Москва, станция метро Новаторская","(55.6694477, 37.5243697)"
Варшавская,"Москва, станция метро Варшавская","(55.653452, 37.6198508)"
Марьина Роща,"Москва, станция метро Марьина Роща","(55.7933573, 37.6182111)"
Кленовый бульвар,"Москва, станция метро Кленовый бульвар","(55.6722843, 37.6816807)"
Пыхтино,"Москва, станция метро Пыхтино","(55.6223928, 37.2946218)"
Аэропорт Внуково,"Москва, станция метро Аэропорт Внуково","(55.6050392, 37.2884034)"
Яхромская,"Москва, станция метро Яхромская","(55.879999, 37.537517)"
Физтех,"Москва, станция метро Физтех","(55.921338, 37.545037)"
